"","SPY","AAPL"
"2005-01-04",-0.0122194637127275,0.0102701088517504
"2005-01-05",-0.00690061615719681,0.00875830945932705
"2005-01-06",0.00508430540389297,0.000775098385044691
"2005-01-07",-0.00143324918157237,0.0728119031851786
"2005-01-10",0.00472810453179597,-0.00418786145491284
"2005-01-11",-0.00689074776905752,-0.063805107443653
"2005-01-12",0.00330004252922032,0.0139406693608039
"2005-01-13",-0.00801211937901914,0.066299907249727
"2005-01-14",0.0052711748835299,0.00573060038933524
"2005-01-18",0.0104026005444693,0.00641032505910421
"2005-01-19",-0.0104628791052045,-0.0108989459656001
"2005-01-20",-0.0060903540542225,0.00829999885962422
"2005-01-21",-0.00612767375693113,0.0004257211545643
"2005-01-24",-0.00196947533623822,0.00383049984844807
"2005-01-25",0.00283135035218729,0.0182305207326887
"2005-01-26",0.00299458297525282,0.0027759262791443
"2005-01-27",0.00170602341346994,0.00539788429906169
"2005-01-28",0,0.0184471453404301
"2005-01-31",0.00621649614031668,0.0394701515667315
"2005-02-01",0.00634732427396169,0.00819242781131764
