"","SPY","AAPL","YHOO"
"2005-01-04",-0.0122194637127275,0.0102701088517504,-0.0419067050811943
"2005-01-05",-0.00690061615719681,0.00875830945932705,-0.0123018309293696
"2005-01-06",0.00508430540389297,0.000775098385044691,-0.0193745081822721
"2005-01-07",-0.00143324918157237,0.0728119031851786,0.0149590460062095
"2005-01-10",0.00472810453179597,-0.00418786145491284,0.0100111515575959
"2005-01-11",-0.00689074776905752,-0.063805107443653,-0.018171806167401
"2005-01-12",0.00330004252922032,0.0139406693608039,0.0134604318564219
"2005-01-13",-0.00801211937901914,0.066299907249727,-0.0224127565692518
"2005-01-14",0.0052711748835299,0.00573060038933524,0.0387772126364442
"2005-01-18",0.0104026005444693,0.00641032505910421,0.0130789914692373
"2005-01-19",-0.0104628791052045,-0.0108989459656001,-0.0196341850457235
"2005-01-20",-0.0060903540542225,0.00829999885962422,-0.0183813986726641
"2005-01-21",-0.00612767375693113,0.0004257211545643,-0.0134153161938321
"2005-01-24",-0.00196947533623822,0.00383049984844807,-0.0388101710711097
"2005-01-25",0.00283135035218729,0.0182305207326887,0.00324199823165331
"2005-01-26",0.00299458297525282,0.0027759262791443,0.0420093994709344
"2005-01-27",0.00170602341346994,0.00539788429906169,-0.0208627284786377
"2005-01-28",0,0.0184471453404301,-0.00316731932047213
"2005-01-31",0.00621649614031668,0.0394701515667315,0.0170421726470877
"2005-02-01",0.00634732427396169,0.00819242781131764,-0.0130644422909527
