Month,ElectricRate
37987,0.0663
38018,0.0659
38047,0.0683
38078,0.0718
38108,0.0666
38139,0.0704
38169,0.0686
38200,0.0715
38231,0.0708
38261,0.0685
38292,0.0696
38322,0.0705
38353,0.0721
38384,0.0728
38412,0.0719
38443,0.0709
38473,0.0737
38504,0.0735
38534,0.0745
38565,0.0765
38596,0.075
38626,0.0729
38657,0.0736
38687,0.0782
38718,0.0731
38749,0.0746
38777,0.0724
38808,0.0741
38838,0.0732
38869,0.0766
38899,0.0771
38930,0.0788
38961,0.0776
38991,0.0769
39022,0.0804
39052,0.0758
39083,0.0759
39114,0.0796
39142,0.0752
39173,0.0756
39203,0.0749
39234,0.0783
39264,0.0789
39295,0.0798
39326,0.0789
39356,0.0759
39387,0.0784
39417,0.0764
39448,0.0786
39479,0.0782
39508,0.0807
39539,0.0802
39569,0.0825
39600,0.0882
39630,0.0855
39661,0.0883
39692,0.0873
39722,0.0854
39753,0.0868
39783,0.0858
39814,0.0856
39845,0.0878
39873,0.0864
39904,0.084
39934,0.0855
39965,0.0894
39995,0.0881
40026,0.0877
40057,0.0879
40087,0.0887
40118,0.0913
40148,0.0855
40179,0.088
40210,0.0898
40238,0.0802
40269,0.0858
40299,0.0867
40330,0.0913
40360,0.0916
40391,0.092
40422,0.0905
40452,0.0862
40483,0.0921
40513,0.0909
40544,0.0904
40575,0.091
40603,0.0893
40634,0.0908
40664,0.0924
40695,0.0944
40725,0.0958
40756,0.0942
40787,0.0956
40817,0.0915
40848,0.0952
40878,0.0929
40909,0.0928
40940,0.0954
40969,0.0951
41000,0.0933
41030,0.0919
41061,0.0996
41091,0.0987
41122,0.0987
41153,0.0984
41183,0.093
41214,0.0995
41244,0.0975
41275,0.0951
41306,0.0978
41334,0.0976
41365,0.0943
41395,0.0959
41426,0.1024
41456,0.1002
41487,0.0983
41518,0.1007
41548,0.0952
41579,0.1002
41609,0.0991
